Element Name,Windows NT,Windows,Component,Component Version,Declaration Header,Include Header,Library,Unicode,Element Type
SymGetLinePrev,Windows 2000. Available as a redistributable for Windows NT 4.0.,Windows 98. Available as a redistributable for Windows 98.,Base/DbgHelp,,Dbghelp.h,,Dbghelp.lib,,function
SymGetModuleBase,Windows NT 4.0 or later,Windows 95 or later. Available as a redistributable for Windows 95.,Base/DbgHelp,,Dbghelp.h,,Dbghelp.lib,,function
SymGetModuleInfo,Windows NT 4.0 or later,Windows 95 or later. Available as a redistributable for Windows 95.,Base/DbgHelp,,Dbghelp.h,,Dbghelp.lib,,function
SymGetModuleInfoEx,Windows 2000. Available as a redistributable for Windows NT 4.0.,Windows 98. Available as a redistributable for Windows 98.,Base/DbgHelp,,Dbghelp.h,,Dbghelp.lib,,function
SymGetOptions,Windows NT 4.0 or later,Windows 95 or later. Available as a redistributable for Windows 95.,Base/DbgHelp,,Dbghelp.h,,Dbghelp.lib,,function
SymGetSearchPath,Windows NT 4.0 or later,Windows 95 or later. Available as a redistributable for Windows 95.,Base/DbgHelp,,Dbghelp.h,,Dbghelp.lib,,function
SymGetSymbolInfo,Windows 2000. Available as a redistributable for Windows NT 4.0.,Windows 98. Available as a redistributable for Windows 98.,Base/DbgHelp,,Dbghelp.h,,Dbghelp.lib,,function
SymGetSymFromAddr,Windows NT 4.0 or later,Windows 95 or later. Available as a redistributable for Windows 95.,Base/DbgHelp,,Dbghelp.h,,Dbghelp.lib,,function
SymGetSymFromName,Windows NT 4.0 or later,Windows 95 or later. Available as a redistributable for Windows 95.,Base/DbgHelp,,Dbghelp.h,,Dbghelp.lib,,function
SymGetSymNext,Windows NT 4.0 or later,Windows 95 or later. Available as a redistributable for Windows 95.,Base/DbgHelp,,Dbghelp.h,,Dbghelp.lib,,function
SymGetSymPrev,Windows NT 4.0 or later,Windows 95 or later. Available as a redistributable for Windows 95.,Base/DbgHelp,,Dbghelp.h,,Dbghelp.lib,,function
SymInitialize,Windows NT 4.0 or later,Windows 95 or later. Available as a redistributable for Windows 95.,Base/DbgHelp,,Dbghelp.h,,Dbghelp.lib,,function
SymLoadModule,Windows NT 4.0 or later,Windows 95 or later. Available as a redistributable for Windows 95.,Base/DbgHelp,,Dbghelp.h,,Dbghelp.lib,,function
SymMatchFileName,Windows 2000. Available as a redistributable for Windows NT 4.0.,Windows 98. Available as a redistributable for Windows 98.,Base/DbgHelp,,Dbghelp.h,,Dbghelp.lib,,function
SymRegisterCallback,Windows NT 4.0 or later,Windows 95 or later. Available as a redistributable for Windows 95.,Base/DbgHelp,,Dbghelp.h,,Dbghelp.lib,,function
SymRegisterFunctionEntryCallback,Windows 2000. Available as a redistributable for Windows NT 4.0.,Windows 98. Available as a redistributable for Windows 98.,Base/DbgHelp,,Dbghelp.h,,Dbghelp.lib,,function
SymSetOptions,Windows NT 4.0 or later,Windows 95 or later. Available as a redistributable for Windows 95.,Base/DbgHelp,,Dbghelp.h,,Dbghelp.lib,,function
SymSetSearchPath,Windows NT 4.0 or later,Windows 95 or later. Available as a redistributable for Windows 95.,Base/DbgHelp,,Dbghelp.h,,Dbghelp.lib,,function
SymUnDName,Windows NT 4.0 or later,Windows 95 or later. Available as a redistributable for Windows 95.,Base/DbgHelp,,Dbghelp.h,,Dbghelp.lib,,function
SymUnloadModule,Windows NT 4.0 or later,Windows 95 or later. Available as a redistributable for Windows 95.,Base/DbgHelp,,Dbghelp.h,,Dbghelp.lib,,function
UnDecorateSymbolName,Windows NT 4.0 or later,Windows 95 or later. Available as a redistributable for Windows 95.,Base/DbgHelp,,Dbghelp.h,,Dbghelp.lib,,function
UnmapDebugInformation,Windows NT 4.0 or later,Windows 95 or later. Available as a redistributable for Windows 95.,Base/DbgHelp,,Dbghelp.h,,Dbghelp.lib,,function
ADDRESS,Windows NT 3.51 or later,Windows 95 or later. Available as a redistributable for Windows 95.,Base/DbgHelp,,Dbghelp.h,,,,structure
API_VERSION,Windows NT 3.51 or later,Windows 95 or later. Available as a redistributable for Windows 95.,Base/DbgHelp,,Dbghelp.h,,,,structure
IMAGE_DEBUG_INFORMATION,Windows NT 3.51 or later,Windows 95 or later. Available as a redistributable for Windows 95.,Base/DbgHelp,,Dbghelp.h,,,,structure
IMAGEHLP_CBA_READ_MEMORY,Windows 2000. Available as a redistributable for Windows NT 4.0.,Windows 98. Available as a redistributable for Windows 98.,Base/DbgHelp,,Dbghelp.h,,,,structure
IMAGEHLP_DEFERRED_SYMBOL_LOAD,Windows NT 3.51 or later,Windows 95 or later. Available as a redistributable for Windows 95.,Base/DbgHelp,,Dbghelp.h,,,,structure
IMAGEHLP_DUPLICATE_SYMBOL,Windows NT 3.51 or later,Windows 95 or later. Available as a redistributable for Windows 95.,Base/DbgHelp,,Dbghelp.h,,,,structure
IMAGEHLP_LINE,Windows 2000. Available as a redistributable for Windows NT 4.0.,Windows 98. Available as a redistributable for Windows 98.,Base/DbgHelp,,Dbghelp.h,,,,structure
IMAGEHLP_MODULE,Windows NT 3.51 or later,Windows 95 or later. Available as a redistributable for Windows 95.,Base/DbgHelp,,Dbghelp.h,,,,structure
IMAGEHLP_SYMBOL,Windows NT 3.51 or later,Windows 95 or later. Available as a redistributable for Windows 95.,Base/DbgHelp,,Dbghelp.h,,,,structure
KDHELP,Windows NT 3.51 or later,Windows 95 or later. Available as a redistributable for Windows 95.,Base/DbgHelp,,Dbghelp.h,,,,structure
LOADED_IMAGE,Windows NT 3.51 or later,Windows 95 or later. Available as a redistributable for Windows 95.,Base/DbgHelp,,Dbghelp.h,,,,structure
MODULE_TYPE_INFO,Windows 2000. Available as a redistributable for Windows NT 4.0.,Windows 98. Available as a redistributable for Windows 98.,Base/DbgHelp,,Dbghelp.h,,,,structure
STACKFRAME,Windows NT 3.51 or later,Windows 95 or later. Available as a redistributable for Windows 95.,Base/DbgHelp,,Dbghelp.h,,,,structure
TYPE_ENUM_INFO,Windows 2000. Available as a redistributable for Windows NT 4.0.,Windows 98. Available as a redistributable for Windows 98.,Base/DbgHelp,,Dbghelp.h,,,,structure
ContinueDebugEvent,Windows NT 3.1 or later,Windows 95 or later,Base/debug,,Winbase.h,Windows.h,Kernel32.lib,,function
DebugActiveProcess,Windows NT 3.1 or later,Windows 95 or later,Base/debug,,Winbase.h,Windows.h,Kernel32.lib,,function
DebugBreak,Windows NT 3.1 or later,Windows 95 or later,Base/debug,,Winbase.h,Windows.h,Kernel32.lib,,function
FatalExit,Windows NT 3.1 or later,Windows 95 or later,Base/debug,,Winbase.h,Windows.h,Kernel32.lib,,function
FlushInstructionCache,Windows NT 3.1 or later,Windows 95 or later,Base/debug,,Winbase.h,Windows.h,Kernel32.lib,,function
GetThreadContext,Windows NT 3.1 or later,Windows 95 or later,Base/debug,,Winbase.h,Windows.h,Kernel32.lib,,function
GetThreadSelectorEntry,Windows NT 3.1 or later,Windows 95 or later,Base/debug,,Winbase.h,Windows.h,Kernel32.lib,,function
IsDebuggerPresent,Windows NT 4.0 or later,Windows 98,Base/debug,,Winbase.h,Windows.h,Kernel32.lib,,function
OutputDebugString,Windows NT 3.1 or later,Windows 95 or later,Base/debug,,Winbase.h,Windows.h,Kernel32.lib,Implemented as Unicode and ANSI versions on Windows NT/2000.,function
ReadProcessMemory,Windows NT 3.1 or later,Windows 95 or later,Base/debug,,Winbase.h,Windows.h,Kernel32.lib,,function
SetThreadContext,Windows NT 3.1 or later,Windows 95 or later,Base/debug,,Winbase.h,Windows.h,Kernel32.lib,,function
WaitForDebugEvent,Windows NT 3.1 or later,Windows 95 or later,Base/debug,,Winbase.h,Windows.h,Kernel32.lib,,function
WriteProcessMemory,Windows NT 3.1 or later,Windows 95 or later,Base/debug,,Winbase.h,Windows.h,Kernel32.lib,,function
CONTEXT,Windows NT 3.1 or later,Windows 95 or later,Base/debug,,Winnt.h,Windows.h,,,structure
CREATE_PROCESS_DEBUG_INFO,Windows NT 3.1 or later,Windows 95 or later,Base/debug,,Winbase.h,Windows.h,,,structure
CREATE_THREAD_DEBUG_INFO,Windows NT 3.1 or later,Windows 95 or later,Base/debug,,Winbase.h,Windows.h,,,structure
DEBUG_EVENT,Windows NT 3.1 or later,Windows 95 or later,Base/debug,,Winbase.h,Windows.h,,,structure
EXCEPTION_DEBUG_INFO,Windows NT 3.1 or later,Windows 95 or later,Base/debug,,Winbase.h,Windows.h,,,structure
EXIT_PROCESS_DEBUG_INFO,Windows NT 3.1 or later,Windows 95 or later,Base/debug,,Winbase.h,Windows.h,,,structure
EXIT_THREAD_DEBUG_INFO,Windows NT 3.1 or later,Windows 95 or later,Base/debug,,Winbase.h,Windows.h,,,structure
LDT_ENTRY,Windows NT 3.1 or later,Windows 95 or later,Base/debug,,Winnt.h,Windows.h,,,structure
LOAD_DLL_DEBUG_INFO,Windows NT 3.1 or later,Windows 95 or later,Base/debug,,Winbase.h,Windows.h,,,structure
OUTPUT_DEBUG_STRING_INFO,Windows NT 3.1 or later,Windows 95 or later,Base/debug,,Winbase.h,Windows.h,,,structure
RIP_INFO,Windows NT 3.1 or later,Windows 95 or later,Base/debug,,Winbase.h,Windows.h,,,structure
UNLOAD_DLL_DEBUG_INFO,Windows NT 3.1 or later,Windows 95 or later,Base/debug,,Winbase.h,Windows.h,,,structure
IDiskQuotaControl,Windows 2000,Unsupported.,Base/DiskQuotas,,Dskquota.h,,,,interface
IDiskQuotaEvents,Windows 2000,Unsupported.,Base/DiskQuotas,,Dskquota.h,,,,interface
IDiskQuotaUser,Windows 2000,Unsupported.,Base/DiskQuotas,,Dskquota.h,,,,interface
IDiskQuotaUserBatch,Windows 2000,Unsupported.,Base/DiskQuotas,,Dskquota.h,,,,interface
IEnumDiskQuotaUsers,Windows 2000,Unsupported.,Base/DiskQuotas,,Dskquota.h,,,,interface
DISKQUOTA_USER_INFORMATION,Windows 2000,Unsupported.,Base/DiskQuotas,,Dskquota.h,,,,structure
Beep,Windows NT 3.1 or later,Windows 95 or later,Base/errors,,Winbase.h,Windows.h,Kernel32.lib,,function
FatalAppExit,Windows NT 3.1 or later,Windows 95 or later,Base/errors,,Winbase.h,Windows.h,Kernel32.lib,Implemented as Unicode and ANSI versions on Windows NT/2000.,function
FlashWindow,Windows NT 3.1 or later,Windows 95 or later,Base/errors,,Winuser.h,Windows.h,User32.lib,,function
FlashWindowEx,Windows 2000,Windows 98,Base/errors,,Winuser.h,Windows.h,User32.lib,,function
FormatMessage,Windows NT 3.1 or later,Windows 95 or later,Base/errors,,Winbase.h,Windows.h,Kernel32.lib,Implemented as Unicode and ANSI versions on Windows NT/2000.,function
GetLastError,Windows NT 3.1 or later,Windows 95 or later,Base/errors,,Winbase.h,Windows.h,Kernel32.lib,,function
MessageBeep,Windows NT 3.1 or later,Windows 95 or later,Base/errors,,Winuser.h,Windows.h,User32.lib,,function
RaiseException,Windows NT 3.1 or later,Windows 95 or later,Base/errors,,Winbase.h,Windows.h,Kernel32.lib,,function
SetErrorMode,Windows NT 3.1 or later,Windows 95 or later,Base/errors,,Winbase.h,Windows.h,Kernel32.lib,,function
SetLastError,Windows NT 3.1 or later,Windows 95 or later,Base/errors,,Winbase.h,Windows.h,Kernel32.lib,,function
SetLastErrorEx,Windows NT 3.1 or later,Windows 95 or later,Base/errors,,Winuser.h,Windows.h,User32.lib,,function
SetUnhandledExceptionFilter,Windows NT 3.5 or later,Windows 95 or later,Base/errors,,Winbase.h,Windows.h,Kernel32.lib,,function
UnhandledExceptionFilter,Windows NT 3.1 or later,Windows 95 or later,Base/errors,,Winbase.h,Windows.h,Kernel32.lib,,function
AbnormalTermination,Windows NT 3.1 or later,Windows 95 or later,Base/errors,,,,,,macro
GetExceptionCode,Windows NT 3.1 or later,Windows 95 or later,Base/errors,,,,,,macro
GetExceptionInformation,Windows NT 3.1 or later,Windows 95 or later,Base/errors,,,,,,macro
EXCEPTION_POINTERS,Windows NT 3.1 or later,Windows 95 or later,Base/errors,,Winnt.h,Windows.h,,,structure
EXCEPTION_RECORD,Windows NT 3.1 or later,Windows 95 or later,Base/errors,,Winnt.h,Windows.h,,,structure
FLASHWINFO,Windows 2000,Windows 98,Base/errors,,Winuser.h,Windows.h,,,structure
BackupEventLog,Windows NT 3.1 or later,Unsupported.,Base/eventlog,,Winbase.h,Windows.h,Advapi32.lib,Implemented as Unicode and ANSI versions on Windows NT/2000.,function
ClearEventLog,Windows NT 3.1 or later,Unsupported.,Base/eventlog,,Winbase.h,Windows.h,Advapi32.lib,Implemented as Unicode and ANSI versions on Windows NT/2000.,function
CloseEventLog,Windows NT 3.1 or later,Unsupported.,Base/eventlog,,Winbase.h,Windows.h,Advapi32.lib,,function
DeregisterEventSource,Windows NT 3.1 or later,Unsupported.,Base/eventlog,,Winbase.h,Windows.h,Advapi32.lib,,function
GetEventLogInformation,Windows 2000,Unsupported.,Base/eventlog,,Winbase.h,Windows.h,Advapi32.lib,,function
GetNumberOfEventLogRecords,Windows NT 3.1 or later,Unsupported.,Base/eventlog,,Winbase.h,Windows.h,Advapi32.lib,,function
GetOldestEventLogRecord,Windows NT 3.1 or later,Unsupported.,Base/eventlog,,Winbase.h,Windows.h,Advapi32.lib,,function
NotifyChangeEventLog,Windows NT 3.5 or later,Unsupported.,Base/eventlog,,Winbase.h,Windows.h,Advapi32.lib,,function
OpenBackupEventLog,Windows NT 3.1 or later,Unsupported.,Base/eventlog,,Winbase.h,Windows.h,Advapi32.lib,Implemented as Unicode and ANSI versions on Windows NT/2000.,function
OpenEventLog,Windows NT 3.1 or later,Unsupported.,Base/eventlog,,Winbase.h,Windows.h,Advapi32.lib,Implemented as Unicode and ANSI versions on Windows NT/2000.,function
ReadEventLog,Windows NT 3.1 or later,Unsupported.,Base/eventlog,,Winbase.h,Windows.h,Advapi32.lib,Implemented as Unicode and ANSI versions on Windows NT/2000.,function
RegisterEventSource,Windows NT 3.1 or later,Unsupported.,Base/eventlog,,Winbase.h,Windows.h,Advapi32.lib,Implemented as Unicode and ANSI versions on Windows NT/2000.,function
ReportEvent,Windows NT 3.1 or later,Unsupported.,Base/eventlog,,Winbase.h,Windows.h,Advapi32.lib,Implemented as Unicode and ANSI versions on Windows NT/2000.,function
EVENTLOG_FULL_INFORMATION,Windows 2000,Unsupported.,Base/eventlog,,Winbase.h,Windows.h,,,structure
EVENTLOGRECORD,Windows NT 3.1 or later,Unsupported.,Base/eventlog,,Winnt.h,Windows.h,,,structure
FiberProc,Windows NT 3.51 SP3 or later,Windows 98,Base/exe,,Winbase.h,Windows.h,,,callback function
ThreadProc,Windows NT 3.1 or later,Windows 95 or later,Base/exe,,Winbase.h,Windows.h,,,callback function
DllMain,Windows NT 3.1 or later,Windows 95 or later,Base/exe,,,,,,entry-point function
AssignProcessToJobObject,Windows 2000,Unsupported.,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,,function
AttachThreadInput,Windows NT 3.1 or later,Windows 95 or later,Base/exe,,Winuser.h,Windows.h,User32.lib,,function
BindIoCompletionCallback,Windows 2000,Unsupported.,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,,function
CommandLineToArgvW,Windows NT 3.5 or later,Unsupported.,Base/exe,,Shellapi.h,Windows.h,Shell32.lib,Implemented only as Unicode.,function
ConvertThreadToFiber,Windows NT 3.51 SP3 or later,Windows 98,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,,function
CreateFiber,Windows NT 3.51 SP3 or later,Windows 98,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,,function
CreateJobObject,Windows 2000,Unsupported.,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,Implemented as Unicode and ANSI versions on Windows 2000.,function
CreateProcess,Windows NT 3.1 or later,Windows 95 or later,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,Implemented as Unicode and ANSI versions on Windows NT/2000.,function
CreateProcessAsUser,Windows NT 3.51 or later,Unsupported.,Base/exe,,Winbase.h,Windows.h,Advapi32.lib,Implemented as Unicode and ANSI versions on Windows NT/2000.,function
CreateProcessWithLogonW,Windows 2000,Unsupported.,Base/exe,,Winbase.h,Windows.h,Advapi32.lib,Implemented only as Unicode.,function
CreateRemoteThread,Windows NT 3.1 or later,Unsupported.,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,,function
CreateThread,Windows NT 3.1 or later,Windows 95 or later,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,,function
DeleteFiber,Windows NT 3.51 SP3 or later,Windows 98,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,,function
DisableThreadLibraryCalls,Windows NT 3.5 or later,Windows 95 or later,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,,function
ExitProcess,Windows NT 3.1 or later,Windows 95 or later,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,,function
ExitThread,Windows NT 3.1 or later,Windows 95 or later,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,,function
FreeEnvironmentStrings,Windows NT 3.5 or later,Windows 95 or later,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,Implemented as Unicode and ANSI versions on Windows NT/2000.,function
FreeLibrary,Windows NT 3.1 or later,Windows 95 or later,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,,function
FreeLibraryAndExitThread,Windows NT 3.5 or later,Windows 95 or later,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,,function
GetCommandLine,Windows NT 3.1 or later,Windows 95 or later,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,Implemented as Unicode and ANSI versions on all platforms.,function
GetCurrentProcess,Windows NT 3.1 or later,Windows 95 or later,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,,function
GetCurrentProcessId,Windows NT 3.1 or later,Windows 95 or later,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,,function
GetCurrentThread,Windows NT 3.1 or later,Windows 95 or later,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,,function
GetCurrentThreadId,Windows NT 3.1 or later,Windows 95 or later,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,,function
GetEnvironmentStrings,Windows NT 3.1 or later,Windows 95 or later,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,Implemented as Unicode and ANSI versions on Windows NT/2000.,function
GetEnvironmentVariable,Windows NT 3.1 or later,Windows 95 or later,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,Implemented as Unicode and ANSI versions on Windows NT/2000.,function
GetExitCodeProcess,Windows NT 3.1 or later,Windows 95 or later,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,,function
GetExitCodeThread,Windows NT 3.1 or later,Windows 95 or later,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,,function
GetGuiResources,Windows 2000,Unsupported.,Base/exe,,Winuser.h,Windows.h,User32.lib,,function
GetModuleFileName,Windows NT 3.1 or later,Windows 95 or later,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,Implemented as Unicode and ANSI versions on Windows NT/2000.,function
GetModuleHandle,Windows NT 3.1 or later,Windows 95 or later,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,Implemented as Unicode and ANSI versions on Windows NT/2000.,function
GetPriorityClass,Windows NT 3.1 or later,Windows 95 or later,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,,function
GetProcAddress,Windows NT 3.1 or later,Windows 95 or later,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,,function
GetProcessAffinityMask,Windows NT 3.5 or later,Windows 95 or later,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,,function
GetProcessIoCounters,Windows 2000,Unsupported.,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,,function
GetProcessPriorityBoost,Windows NT 4.0 or later,Unsupported.,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,,function
GetProcessShutdownParameters,Windows NT 3.1 or later,Unsupported.,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,,function
GetProcessTimes,Windows NT 3.5 or later,Unsupported.,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,,function
GetProcessVersion,Windows NT 3.51 or later,Windows 95 or later,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,,function
GetProcessWorkingSetSize,Windows NT 3.5 or later,Unsupported.,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,,function
GetStartupInfo,Windows NT 3.1 or later,Windows 95 or later,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,Implemented as Unicode and ANSI versions on Windows NT/2000.,function
GetThreadPriority,Windows NT 3.1 or later,Windows 95 or later,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,,function
GetThreadPriorityBoost,Windows NT 4.0 or later,Unsupported.,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,,function
GetThreadTimes,Windows NT 3.5 or later,Unsupported.,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,,function
LoadLibrary,Windows NT 3.1 or later,Windows 95 or later,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,Implemented as Unicode and ANSI versions on Windows NT/2000.,function
LoadLibraryEx,Windows NT 3.1 or later,Windows 95 or later,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,Implemented as Unicode and ANSI versions on Windows NT/2000.,function
LoadModule,Windows NT 3.1 or later,Windows 95 or later,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,,function
OpenJobObject,Windows 2000,Unsupported.,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,Implemented as Unicode and ANSI versions on Windows 2000.,function
OpenProcess,Windows NT 3.1 or later,Windows 95 or later,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,,function
OpenThread,Windows 2000,Unsupported.,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,,function
QueryInformationJobObject,Windows 2000,Unsupported.,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,,function
QueueUserWorkItem,Windows 2000,Unsupported.,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,,function
ResumeThread,Windows NT 3.1 or later,Windows 95 or later,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,,function
SetEnvironmentVariable,Windows NT 3.1 or later,Windows 95 or later,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,Implemented as Unicode and ANSI versions on Windows NT/2000.,function
SetInformationJobObject,Windows 2000,Unsupported.,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,,function
SetPriorityClass,Windows NT 3.1 or later,Windows 95 or later,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,,function
SetProcessAffinityMask,Windows NT 4.0 or later,Unsupported.,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,,function
SetProcessPriorityBoost,Windows NT 4.0 or later,Unsupported.,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,,function
SetProcessShutdownParameters,Windows NT 3.1 or later,Unsupported.,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,,function
SetProcessWorkingSetSize,Windows NT 3.5 or later,Unsupported.,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,,function
SetThreadAffinityMask,Windows NT 3.5 or later,Windows 95 or later,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,,function
SetThreadIdealProcessor,Windows NT 4.0 or later,Unsupported.,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,,function
SetThreadPriority,Windows NT 3.1 or later,Windows 95 or later,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,,function
SetThreadPriorityBoost,Windows NT 4.0 or later,Unsupported.,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,,function
Sleep,Windows NT 3.1 or later,Windows 95 or later,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,,function
SleepEx,Windows NT 3.1 or later,Windows 95 or later,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,,function
SuspendThread,Windows NT 3.1 or later,Windows 95 or later,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,,function
SwitchToFiber,Windows NT 3.51 SP3 or later,Windows 98,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,,function
SwitchToThread,Windows NT 4.0 or later,Unsupported.,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,,function
TerminateJobObject,Windows 2000,Unsupported.,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,,function
TerminateProcess,Windows NT 3.1 or later,Windows 95 or later,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,,function
TerminateThread,Windows NT 3.1 or later,Windows 95 or later,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,,function
TlsAlloc,Windows NT 3.1 or later,Windows 95 or later,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,,function
TlsFree,Windows NT 3.1 or later,Windows 95 or later,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,,function
TlsGetValue,Windows NT 3.1 or later,Windows 95 or later,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,,function
TlsSetValue,Windows NT 3.1 or later,Windows 95 or later,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,,function
UserHandleGrantAccess,Windows 2000,Unsupported.,Base/exe,,Winuser.h,Windows.h,User32.lib,,function
WaitForInputIdle,Windows NT 3.1 or later,Windows 95 or later,Base/exe,,Winuser.h,Windows.h,User32.lib,,function
WinExec,Windows NT 3.1 or later,Windows 95 or later,Base/exe,,Winbase.h,Windows.h,Kernel32.lib,,function
GetCurrentFiber,Windows NT 3.51 SP3 or later,Windows 98,Base/exe,,Winnt.h,Windows.h,,,macro
GetFiberData,Windows NT 3.51 SP3 or later,Windows 98,Base/exe,,Winnt.h,Windows.h,,,macro
IO_COUNTERS,Windows 2000,Unsupported.,Base/exe,,Winnt.h,Windows.h,,,structure
JOBOBJECT_ASSOCIATE_COMPLETION_PORT,Windows 2000,Unsupported.,Base/exe,,Winnt.h,Windows.h,,,structure
JOBOBJECT_BASIC_ACCOUNTING_INFORMATION,Windows 2000,Unsupported.,Base/exe,,Winnt.h,Windows.h,,,structure
JOBOBJECT_BASIC_AND_IO_ACCOUNTING_INFORMATION,Windows 2000,Unsupported.,Base/exe,,Winnt.h,Windows.h,,,structure
JOBOBJECT_BASIC_LIMIT_INFORMATION,Windows 2000,Unsupported.,Base/exe,,Winnt.h,Windows.h,,,structure
JOBOBJECT_BASIC_PROCESS_ID_LIST,Windows 2000,Unsupported.,Base/exe,,Winnt.h,Windows.h,,,structure
JOBOBJECT_BASIC_UI_RESTRICTIONS,Windows 2000,Unsupported.,Base/exe,,Winnt.h,Windows.h,,,structure
JOBOBJECT_END_OF_JOB_TIME_INFORMATION,Windows 2000,Unsupported.,Base/exe,,Winnt.h,Windows.h,,,structure
JOBOBJECT_EXTENDED_LIMIT_INFORMATION,Windows 2000,Unsupported.,Base/exe,,Winnt.h,Windows.h,,,structure
JOBOBJECT_SECURITY_LIMIT_INFORMATION,Windows 2000,Unsupported.,Base/exe,,Winnt.h,Windows.h,,,structure
PROCESS_INFORMATION,Windows NT 3.1 or later,Windows 95 or later,Base/exe,,Winbase.h,Windows.h,,,structure
STARTUPINFO,Windows NT 3.1 or later,Windows 95 or later,Base/exe,,Winbase.h,Windows.h,,Declared as Unicode and ANSI structures.,structure
CopyProgressRoutine,Windows NT 4.0 or later,Unsupported.,Base/file,,Winbase.h,Windows.h,,,callback function
FileIOCompletionRoutine,Windows NT 3.1 or later,Windows 98,Base/file,,Winbase.h,Windows.h,,,callback function
FINDEX_INFO_LEVELS,Windows NT 4.0 or later,Unsupported.,Base/file,,Winbase.h,Windows.h,,,enumeration
FINDEX_SEARCH_OPS,Windows NT 4.0 or later,Unsupported.,Base/file,,Winbase.h,Windows.h,,,enumeration
GET_FILEEX_INFO_LEVELS,Windows NT 4.0 or later,Windows 98,Base/file,,Winbase.h,Windows.h,,,enumeration
_hread,Windows NT 3.1 or later,Windows 95 or later,Base/file,,Winbase.h,Windows.h,Kernel32.lib,,function
_hwrite,Windows NT 3.1 or later,Windows 95 or later,Base/file,,Winbase.h,Windows.h,Kernel32.lib,,function
